description,amount,category
Spotify £112.38,112.38,Entertainment
KFC £19.14,19.14,Eating Out
Waitrose £95.04,95.04,Groceries
Starbucks £109.48,109.48,Eating Out
Argos £111.82,111.82,Shopping
KFC £118.26,118.26,Eating Out
Argos £42.72,42.72,Shopping
Waitrose £21.11,21.11,Groceries
Spotify £65.3,65.3,Entertainment
British Gas £83.46,83.46,Bills
Lidl £27.13,27.13,Groceries
IKEA £54.49,54.49,Shopping
Nando's £33.22,33.22,Eating Out
Netflix £81.7,81.7,Entertainment
Asda £116.25,116.25,Groceries
Lidl £117.6,117.6,Groceries
Thames Water £11.4,11.4,Bills
IKEA £86.95,86.95,Shopping
eBay £57.54,57.54,Shopping
Thames Water £57.5,57.5,Bills
Argos £31.81,31.81,Shopping
Shell Petrol Station £99.1,99.1,Transport
O2 Mobile £40.91,40.91,Bills
KFC £110.68,110.68,Eating Out
Shell Petrol Station £11.35,11.35,Transport
Uber £92.93,92.93,Transport
McDonald's £80.88,80.88,Eating Out
British Gas £72.71,72.71,Bills
Asda £59.61,59.61,Groceries
Starbucks £93.35,93.35,Eating Out
McDonald's £90.42,90.42,Eating Out
IKEA £50.57,50.57,Shopping
Trainline £46.84,46.84,Transport
Lidl £70.34,70.34,Groceries
Spotify £34.3,34.3,Entertainment
Steam Purchase £40.78,40.78,Entertainment
British Gas £112.5,112.5,Bills
Aldi £111.26,111.26,Groceries
O2 Mobile £8.17,8.17,Bills
Lidl £105.8,105.8,Groceries
Uber £58.8,58.8,Transport
Spotify £116.57,116.57,Entertainment
Uber £17.9,17.9,Transport
Trainline £63.46,63.46,Transport
Odeon £8.44,8.44,Entertainment
Sainsbury's £84.84,84.84,Groceries
McDonald's £26.45,26.45,Eating Out
British Gas £36.02,36.02,Bills
Trainline £112.04,112.04,Transport
Trainline £52.66,52.66,Transport
Waitrose £101.93,101.93,Groceries
Netflix £5.19,5.19,Entertainment
Netflix £116.86,116.86,Entertainment
Thames Water £22.16,22.16,Bills
Cineworld £114.77,114.77,Entertainment
Shell Petrol Station £9.86,9.86,Transport
Aldi £47.64,47.64,Groceries
Local Restaurant £55.62,55.62,Eating Out
Trainline £71.06,71.06,Transport
Starbucks £24.99,24.99,Eating Out
Currys £35.85,35.85,Shopping
Spotify £63.55,63.55,Entertainment
Local Restaurant £40.29,40.29,Eating Out
Odeon £48.12,48.12,Entertainment
eBay £67.0,67.0,Shopping
Tesco £96.69,96.69,Groceries
Shell Petrol Station £102.48,102.48,Transport
Argos £117.77,117.77,Shopping
Steam Purchase £10.41,10.41,Entertainment
Aldi £35.9,35.9,Groceries
Amazon £82.97,82.97,Shopping
eBay £58.5,58.5,Shopping
KFC £111.0,111.0,Eating Out
Waitrose £45.84,45.84,Groceries
Netflix £100.72,100.72,Entertainment
eBay £43.28,43.28,Shopping
British Gas £22.47,22.47,Bills
O2 Mobile £24.7,24.7,Bills
eBay £111.97,111.97,Shopping
eBay £108.15,108.15,Shopping
Local Restaurant £23.54,23.54,Eating Out
Lidl £27.82,27.82,Groceries
Shell Petrol Station £72.23,72.23,Transport
Spotify £65.19,65.19,Entertainment
Sainsbury's £51.27,51.27,Groceries
Netflix £36.79,36.79,Entertainment
Spotify £62.77,62.77,Entertainment
Thames Water £105.22,105.22,Bills
EE Mobile £115.09,115.09,Bills
British Gas £5.93,5.93,Bills
Starbucks £66.09,66.09,Eating Out
Steam Purchase £34.16,34.16,Entertainment
Thames Water £25.69,25.69,Bills
BP Fuel £55.98,55.98,Transport
Aldi £107.77,107.77,Groceries
Cineworld £3.43,3.43,Entertainment
Tesco £108.31,108.31,Groceries
Tesco £51.95,51.95,Groceries
Netflix £52.33,52.33,Entertainment
Nando's £6.29,6.29,Eating Out
eBay £58.24,58.24,Shopping
Netflix £79.32,79.32,Entertainment
Nando's £49.66,49.66,Eating Out
Lidl £67.02,67.02,Groceries
Thames Water £32.26,32.26,Bills
Netflix £37.06,37.06,Entertainment
BP Fuel £76.59,76.59,Transport
McDonald's £73.32,73.32,Eating Out
EE Mobile £116.99,116.99,Bills
Stagecoach Bus £5.59,5.59,Transport
BT Broadband £99.14,99.14,Bills
Sainsbury's £86.29,86.29,Groceries
Sainsbury's £34.48,34.48,Groceries
Uber £99.65,99.65,Transport
Starbucks £23.85,23.85,Eating Out
Lidl £62.25,62.25,Groceries
EE Mobile £107.04,107.04,Bills
Currys £66.85,66.85,Shopping
Nando's £104.37,104.37,Eating Out
Starbucks £106.9,106.9,Eating Out
Local Restaurant £54.18,54.18,Eating Out
Waitrose £74.82,74.82,Groceries
EE Mobile £52.89,52.89,Bills
Local Restaurant £104.57,104.57,Eating Out
BT Broadband £39.39,39.39,Bills
Asda £48.06,48.06,Groceries
McDonald's £68.18,68.18,Eating Out
Aldi £33.44,33.44,Groceries
Amazon £116.12,116.12,Shopping
Thames Water £88.47,88.47,Bills
Cineworld £56.12,56.12,Entertainment
Cineworld £30.89,30.89,Entertainment
EE Mobile £48.82,48.82,Bills
IKEA £10.94,10.94,Shopping
KFC £87.11,87.11,Eating Out
Shell Petrol Station £107.11,107.11,Transport
Thames Water £101.55,101.55,Bills
Trainline £85.67,85.67,Transport
Argos £20.54,20.54,Shopping
Amazon £66.72,66.72,Shopping
McDonald's £82.41,82.41,Eating Out
Currys £16.38,16.38,Shopping
Stagecoach Bus £117.31,117.31,Transport
Cineworld £94.7,94.7,Entertainment
